,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,maximum_minimum_nights,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,booking_ratio,total_amenities
328,within an hour,94,100,f,t,t,Greenpoint,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,449.0,1,365,1.0,4.83,4.87,4.89,4.83,4.65,4.7,f,0.5616438356164384,36
329,within an hour,94,100,f,t,t,Greenpoint,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,449.0,1,365,1.0,4.82,4.85,4.92,4.94,4.48,4.75,f,0.5698630136986301,36
330,within an hour,94,100,f,t,t,Greenpoint,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,449.0,1,180,1.0,4.78,4.88,4.86,4.84,4.72,4.66,f,0.673972602739726,37
331,within an hour,94,100,f,t,t,Greenpoint,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,449.0,1,365,1.0,4.85,4.85,4.93,4.9,4.69,4.74,f,0.5808219178082191,30
332,within an hour,94,100,f,t,t,Greenpoint,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,449.0,1,180,1.0,4.89,4.89,5.0,4.93,4.7,4.67,f,0.5616438356164384,34
350,within a few hours,100,93,t,t,t,Bedford-Stuyvesant,Private room in condo,Private room,2,1.0,1 shared bath,1.0,1.0,156.0,2,1125,2.0,4.89,4.64,4.96,4.94,4.77,4.82,f,0.3726027397260274,53
368,within a few hours,100,94,t,t,t,Hell's Kitchen,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,2.0,136.0,4,150,30.0,4.89,4.89,4.96,4.99,4.92,4.85,t,0.6438356164383562,18
405,within an hour,100,100,t,t,t,Washington Heights,Entire guest suite,Entire home/apt,2,1.0,1 bath,2.0,3.0,364.0,4,1125,4.0,4.92,4.86,4.98,4.98,4.85,4.84,t,0.1205479452054794,71
424,within an hour,100,100,t,t,t,Clinton Hill,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,100.0,2,1125,2.0,4.53,4.41,4.79,4.8,4.8,4.59,t,0.1698630136986301,25
460,within an hour,100,100,t,t,t,Williamsburg,Private room in condo,Private room,2,1.0,1 shared bath,1.0,1.0,150.0,1,365,2.0,4.98,4.99,4.99,4.97,4.97,4.89,f,0.3589041095890411,51
463,within a few hours,100,81,t,t,t,Bedford-Stuyvesant,Private room in townhouse,Private room,2,1.5,1.5 baths,1.0,1.0,149.0,4,90,4.0,4.94,4.9,4.94,4.9,4.66,4.87,f,0.084931506849315,22
503,within an hour,100,99,t,t,t,Harlem,Entire rental unit,Entire home/apt,5,1.0,1 bath,2.0,3.0,267.0,3,25,3.0,4.88,4.91,4.95,4.95,4.84,4.84,f,0.6493150684931507,56
541,within an hour,100,100,t,t,t,Prospect Heights,Private room in home,Private room,2,1.5,1.5 shared baths,1.0,1.0,90.0,30,365,30.0,4.71,4.66,4.91,4.92,4.85,4.73,f,0.1643835616438356,34
579,within an hour,100,82,t,t,t,Clinton Hill,Private room,Private room,2,1.0,1 private bath,1.0,1.0,286.0,3,21,3.0,4.94,4.94,4.97,4.92,4.89,4.84,f,0.5780821917808219,36
609,within an hour,100,95,t,t,t,Bedford-Stuyvesant,Private room in guest suite,Private room,2,1.0,1 private bath,1.0,1.0,178.0,4,10,4.0,4.92,4.9,4.98,4.98,4.39,4.86,f,0.084931506849315,42
612,within a few hours,100,84,f,t,t,Williamsburg,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,245.0,3,30,3.0,4.9,4.91,4.99,4.95,4.83,4.8,f,0.5561643835616439,41
652,within a few hours,100,98,f,t,t,Bedford-Stuyvesant,Entire home,Entire home/apt,2,1.0,1 bath,1.0,1.0,150.0,3,30,3.0,4.48,4.61,4.72,4.62,4.36,4.43,f,0.1917808219178082,22
664,within a few hours,100,83,t,t,t,Williamsburg,Private room in condo,Private room,2,1.0,1 private bath,1.0,2.0,165.0,4,30,4.0,4.79,4.83,4.82,4.75,4.88,4.82,f,0.6164383561643836,27
761,within a day,100,82,t,t,t,Prospect-Lefferts Gardens,Private room in townhouse,Private room,2,1.5,1.5 shared baths,1.0,1.0,162.0,3,365,3.0,4.89,4.7,4.88,4.88,4.78,4.85,f,0.1698630136986301,25
881,within an hour,100,96,t,t,t,Flushing,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,90.0,2,38,4.0,4.8,4.8,4.91,4.89,4.61,4.81,f,0.6931506849315069,29
914,within an hour,100,86,f,t,t,Williamsburg,Private room in condo,Private room,1,0.5,Private half-bath,1.0,1.0,170.0,5,60,7.0,5.0,5.0,5.0,5.0,5.0,5.0,f,0.1123287671232876,27
959,within a day,86,90,t,t,t,Harlem,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,2.0,289.0,3,30,3.0,4.87,4.88,4.86,4.85,4.76,4.71,f,0.1753424657534246,56
