,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,maximum_minimum_nights,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,booking_ratio,total_amenities
18261,within an hour,100,92,f,t,t,Midtown,Entire rental unit,Entire home/apt,4,1.0,1 bath,0.0,2.0,248.0,1,1125,7.0,4.63,4.63,4.81,4.85,4.9,4.49,t,0.0794520547945205,32
18288,within an hour,100,92,f,t,t,Midtown,Entire rental unit,Entire home/apt,4,1.0,1 bath,0.0,2.0,229.0,7,1125,6.0,4.59,4.52,4.5,4.74,4.94,4.24,f,0.0931506849315068,27
18294,within an hour,100,95,t,t,t,Bergen Beach,Private room in rental unit,Private room,4,1.5,1.5 shared baths,2.0,1.0,300.0,1,28,1.0,4.89,4.95,4.95,4.89,4.89,4.74,f,0.010958904109589,59
18330,within an hour,100,94,t,t,t,Ozone Park,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,109.0,5,28,5.0,4.63,4.86,4.88,4.77,4.57,4.48,f,0.1205479452054794,48
18375,within an hour,100,99,f,t,t,Chelsea,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,219.0,3,365,3.0,4.24,4.39,4.68,4.82,4.53,4.24,t,0.0657534246575342,36
18387,within an hour,98,100,f,t,t,Midtown,Room in boutique hotel,Private room,2,1.0,1 shared bath,0.0,1.0,317.0,1,1125,2.0,4.54,4.85,4.31,4.69,4.69,4.31,t,0.136986301369863,19
18388,within an hour,98,100,f,t,t,Flatiron District,Room in boutique hotel,Private room,2,1.0,1 private bath,0.0,1.0,313.0,1,1125,1.0,4.42,4.46,4.33,4.46,4.83,4.33,t,0.1315068493150684,18
18389,within an hour,98,100,f,t,t,Midtown,Room in boutique hotel,Private room,2,1.0,1 shared bath,0.0,1.0,165.0,1,1125,2.0,4.59,4.7,4.64,4.6,4.87,4.54,t,0.1178082191780822,17
18390,within an hour,98,100,f,t,t,Flatiron District,Room in boutique hotel,Private room,2,1.0,1 private bath,0.0,1.0,392.0,1,1125,1.0,4.61,4.62,4.64,4.62,4.87,4.51,t,0.1534246575342465,18
18391,within an hour,98,100,f,t,t,Midtown,Room in boutique hotel,Private room,2,1.0,1 private bath,0.0,1.0,451.0,1,1125,2.0,4.53,4.64,4.72,4.57,4.84,4.41,t,0.1205479452054794,19
18481,within an hour,100,90,t,t,t,Bushwick,Private room in townhouse,Private room,2,1.0,1 private bath,1.0,2.0,175.0,3,28,3.0,4.91,4.92,4.91,4.96,4.79,4.8,f,0.6082191780821918,43
18495,within an hour,98,100,f,t,t,Financial District,Entire rental unit,Entire home/apt,4,1.0,1 bath,0.0,2.0,196.0,1,1125,1.0,4.75,4.85,4.95,4.85,4.76,4.6,t,0.3863013698630137,32
18501,within an hour,98,100,f,t,t,Midtown,Room in boutique hotel,Private room,2,1.0,1 shared bath,1.0,1.0,362.0,1,1125,2.0,4.81,4.88,4.92,4.84,4.94,4.65,t,0.1205479452054794,20
18502,within an hour,98,100,f,t,t,Midtown,Room in boutique hotel,Private room,2,1.0,1 shared bath,1.0,1.0,498.0,1,1125,2.0,5.0,5.0,5.0,5.0,5.0,4.0,t,0.3232876712328767,21
18503,within an hour,98,100,f,t,t,Midtown,Room in boutique hotel,Private room,2,1.0,1 shared bath,1.0,1.0,419.0,1,1125,2.0,4.56,4.67,4.61,4.56,4.92,4.53,t,0.1068493150684931,20
18504,within an hour,98,100,f,t,t,Midtown,Room in boutique hotel,Private room,2,1.0,1 shared bath,1.0,1.0,362.0,1,1125,2.0,4.91,4.86,4.77,4.82,4.82,4.73,t,0.1616438356164383,20
18505,within an hour,98,100,f,t,t,Midtown,Room in boutique hotel,Private room,4,1.0,1 shared bath,1.0,2.0,535.0,1,1125,2.0,4.8,4.8,4.8,4.8,5.0,4.8,t,0.1643835616438356,20
18506,within an hour,98,100,f,t,t,Midtown,Room in boutique hotel,Private room,4,1.0,1 shared bath,1.0,2.0,530.0,1,1125,2.0,4.86,4.9,4.81,4.95,5.0,4.76,t,0.1671232876712328,20
18507,within an hour,98,100,f,t,t,Midtown,Room in boutique hotel,Private room,4,1.0,1 shared bath,1.0,2.0,734.0,1,1125,2.0,5.0,5.0,5.0,4.89,5.0,4.89,t,0.2136986301369863,20
18508,within an hour,98,100,f,t,t,Midtown,Room in boutique hotel,Private room,4,1.0,1 shared bath,1.0,2.0,867.0,1,1125,2.0,4.7,4.6,4.9,4.4,5.0,4.5,t,0.4027397260273972,20
18538,within an hour,100,100,t,t,t,Flushing,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,79.0,3,30,3.0,4.8,4.78,4.91,4.91,4.81,4.8,t,0.6958904109589041,27
18541,within an hour,100,81,t,t,f,Queens Village,Entire home,Entire home/apt,2,1.0,1 bath,2.0,2.0,145.0,2,28,2.0,4.86,4.88,4.98,4.98,4.76,4.72,f,0.0164383561643835,40
18554,within an hour,100,99,t,t,t,Upper West Side,Private room in guest suite,Private room,2,1.0,1 private bath,1.0,2.0,497.0,2,28,2.0,4.95,4.95,4.98,4.94,5.0,4.84,t,0.1643835616438356,45
18564,within an hour,100,100,t,t,t,Sunset Park,Private room in home,Private room,2,1.0,1 private bath,2.0,3.0,170.0,3,28,3.0,4.99,4.99,5.0,5.0,4.82,4.93,f,0.4027397260273972,39
18574,within an hour,98,99,t,t,f,Clason Point,Private room in home,Private room,1,1.0,1 shared bath,1.0,1.0,60.0,2,365,2.0,4.9,4.82,4.95,4.95,4.67,4.92,f,0.136986301369863,20
18575,within an hour,98,99,t,t,f,Clason Point,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,80.0,1,365,1.0,4.88,4.77,4.95,4.9,4.7,4.76,f,0.0767123287671232,52
18584,within an hour,100,100,f,t,t,Long Island City,Room in boutique hotel,Private room,3,1.0,1 private bath,1.0,2.0,283.0,1,1125,1.0,4.45,4.54,4.59,4.41,4.5,4.45,t,0.3013698630136986,43
18586,within an hour,100,100,f,t,t,Long Island City,Room in boutique hotel,Private room,3,1.0,1 private bath,1.0,2.0,283.0,1,1125,1.0,4.25,4.39,4.37,4.18,4.31,4.29,t,0.2054794520547945,31
18606,within an hour,100,85,t,t,t,SoHo,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,2.0,1000.0,3,365,3.0,5.0,4.9,4.7,4.8,4.9,4.7,f,0.3342465753424657,56
18620,within an hour,100,100,t,t,t,Bath Beach,Entire loft,Entire home/apt,4,1.0,1 bath,2.0,2.0,265.0,2,1125,5.0,4.92,4.92,4.96,4.95,4.84,4.83,t,0.136986301369863,54
18665,within an hour,98,100,f,t,t,Midtown,Room in boutique hotel,Private room,4,1.0,1 shared bath,1.0,2.0,641.0,1,1125,2.0,4.62,4.77,4.77,4.69,4.69,4.46,t,0.4986301369863014,21
18696,within an hour,100,100,f,t,t,Long Island City,Room in boutique hotel,Private room,4,1.0,1 private bath,1.0,2.0,286.0,1,1125,1.0,4.31,4.36,4.66,4.54,4.44,4.36,t,0.1835616438356164,36
18698,within an hour,100,100,f,t,t,Long Island City,Room in boutique hotel,Private room,3,1.0,1 private bath,1.0,2.0,292.0,1,1125,1.0,4.19,4.17,4.52,4.46,4.6,4.44,t,0.1835616438356164,39
18701,within an hour,100,97,t,t,t,Fresh Meadows,Entire home,Entire home/apt,8,1.5,1.5 baths,3.0,4.0,228.0,4,60,5.0,4.78,4.63,4.87,4.87,4.92,4.81,f,0.6,57
18714,within a few hours,92,75,t,t,t,Kew Gardens,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,147.0,2,28,2.0,4.91,5.0,4.83,4.91,4.87,4.87,f,0.0054794520547945,18
18734,within an hour,100,98,f,t,t,Chelsea,Private room in hostel,Private room,1,0.0,0 baths,1.0,1.0,182.0,1,180,2.0,5.0,5.0,5.0,5.0,5.0,4.0,f,0.1260273972602739,24
18735,within an hour,100,98,f,t,t,Chelsea,Private room in hostel,Private room,1,0.0,0 shared baths,1.0,1.0,182.0,1,180,2.0,4.0,3.0,5.0,5.0,5.0,5.0,f,0.1315068493150684,23
18737,within an hour,100,98,f,t,t,Chelsea,Private room in hostel,Private room,1,0.0,0 baths,1.0,1.0,182.0,1,180,2.0,5.0,5.0,5.0,5.0,5.0,5.0,f,0.1616438356164383,20
18738,within an hour,100,98,f,t,t,Chelsea,Private room in hostel,Private room,1,0.0,0 baths,1.0,1.0,168.0,1,180,2.0,4.5,5.0,4.75,4.5,5.0,4.0,f,0.1780821917808219,24
18746,within an hour,100,98,f,t,t,Chelsea,Private room in hostel,Private room,1,0.0,0 shared baths,1.0,1.0,168.0,1,180,2.0,3.0,3.0,4.0,4.5,4.0,3.0,f,0.1123287671232876,24
18749,within an hour,100,98,f,t,t,Chelsea,Private room in kezhan,Private room,1,0.0,0 shared baths,1.0,1.0,182.0,1,180,2.0,4.5,5.0,4.5,4.0,5.0,4.0,f,0.0876712328767123,27
18752,within an hour,100,98,f,t,t,Chelsea,Private room in hostel,Private room,1,0.0,0 shared baths,1.0,1.0,167.0,1,365,2.0,4.22,4.0,4.67,4.22,4.56,3.89,f,0.2657534246575342,28
18754,within an hour,100,98,f,t,t,Chelsea,Private room in hostel,Private room,1,0.0,0 shared baths,1.0,1.0,168.0,1,180,2.0,4.33,4.67,4.67,3.67,4.67,3.67,f,0.1452054794520547,23
18755,within an hour,100,98,f,t,t,Chelsea,Private room in hostel,Private room,1,0.0,0 shared baths,1.0,1.0,182.0,1,180,2.0,5.0,5.0,5.0,4.0,4.0,4.0,f,0.136986301369863,25
18783,within a few hours,95,57,f,t,t,Midland Beach,Entire home,Entire home/apt,6,2.0,2 baths,3.0,3.0,131.0,3,37,3.0,4.7,4.67,4.88,4.83,4.83,4.8,f,0.6219178082191781,59
18899,within an hour,100,96,f,t,t,Crown Heights,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,260.0,4,90,4.0,4.98,4.98,4.97,4.89,4.98,4.95,f,0.6438356164383562,40
18912,within an hour,100,100,t,t,t,East New York,Private room in home,Private room,2,1.0,1 private bath,2.0,2.0,175.0,1,1125,1.0,4.95,4.96,4.94,4.98,4.62,4.94,t,0.5780821917808219,31
18937,within a few hours,100,100,t,t,t,South Slope,Private room in townhouse,Private room,2,1.0,1 private bath,1.0,1.0,235.0,4,29,4.0,4.99,4.96,4.94,4.99,4.99,4.91,f,0.6246575342465753,32
18951,within an hour,100,100,f,t,t,Eastchester,Private room in home,Private room,2,1.0,1 private bath,1.0,2.0,180.0,1,730,1.0,4.89,4.93,5.0,4.9,4.66,4.73,t,0.5287671232876713,44
18960,within an hour,100,99,t,t,t,Crown Heights,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,230.0,2,25,2.0,4.93,4.96,4.99,4.99,4.62,4.87,f,0.1232876712328767,61
18963,within an hour,100,97,f,t,t,Hell's Kitchen,Room in hotel,Private room,4,1.0,1 private bath,1.0,2.0,482.0,1,28,1.0,4.67,4.67,4.67,4.55,4.61,4.48,t,0.1068493150684931,26
18964,within an hour,100,97,f,t,t,Hell's Kitchen,Room in hotel,Private room,2,1.0,1 private bath,1.0,1.0,365.0,1,28,1.0,4.83,4.94,4.87,4.94,4.89,4.83,t,0.2493150684931507,26
18965,within an hour,100,97,f,t,t,Hell's Kitchen,Room in hotel,Private room,2,1.0,1 private bath,1.0,1.0,365.0,1,28,1.0,4.8,4.87,4.86,4.77,4.8,4.71,t,0.1123287671232876,26
18966,within an hour,100,97,f,t,t,Hell's Kitchen,Room in hotel,Private room,2,1.0,1 private bath,1.0,1.0,385.0,1,28,1.0,4.89,4.89,4.78,4.78,4.89,4.78,t,0.1205479452054794,24
18983,within an hour,100,93,t,t,t,Park Slope,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,147.0,2,10,2.0,4.96,4.92,4.95,4.98,4.96,4.85,f,0.6246575342465753,38
19009,within an hour,100,75,t,t,t,Lower East Side,Private room in townhouse,Private room,13,2.0,2 baths,6.0,8.0,1500.0,1,1125,1.0,4.88,4.56,4.92,5.0,4.91,4.78,f,0.1095890410958904,72
19017,within a few hours,100,78,f,t,t,Astoria,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,204.0,2,1125,4.0,4.75,4.85,4.7,4.8,4.95,4.75,f,0.4657534246575342,33
19029,within an hour,100,99,f,t,t,Hell's Kitchen,Private room in rental unit,Private room,2,2.0,2 shared baths,1.0,1.0,185.0,2,1125,2.0,4.11,3.93,4.56,4.37,4.78,4.11,t,0.0493150684931506,12
19030,within an hour,100,99,f,t,t,Hell's Kitchen,Entire rental unit,Entire home/apt,6,1.0,1 bath,4.0,4.0,1000.0,2,1125,2.0,4.0,3.78,4.54,4.36,4.5,4.1,f,0.5287671232876713,13
19049,within an hour,100,100,t,t,t,Chinatown,Entire guest suite,Entire home/apt,6,1.0,1 bath,3.0,3.0,663.0,3,90,3.0,4.94,4.93,4.95,4.98,4.88,4.85,f,0.4602739726027397,28
19063,within an hour,100,99,f,t,t,Hell's Kitchen,Entire rental unit,Entire home/apt,6,1.0,1 bath,4.0,4.0,1200.0,2,1125,2.0,4.46,4.36,4.8,4.68,4.8,4.5,f,0.5095890410958904,14
19112,within an hour,100,98,t,t,t,Bushwick,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,81.0,3,28,2.0,4.8,4.86,4.86,4.82,4.5,4.76,f,0.6712328767123288,25
19113,within an hour,100,99,t,t,t,East Flatbush,Entire home,Entire home/apt,5,1.0,1 bath,2.0,2.0,203.0,3,1125,3.0,4.84,4.79,4.95,4.97,4.68,4.83,t,0.1808219178082191,62
19164,within an hour,100,99,t,t,t,Bedford-Stuyvesant,Private room in condo,Private room,2,1.5,1.5 shared baths,1.0,1.0,150.0,1,90,1.0,4.95,4.93,4.98,4.99,4.76,4.87,t,0.2082191780821917,63
19175,within an hour,100,100,t,t,f,Sea Gate,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,96.0,2,60,2.0,4.92,4.87,4.8,4.88,4.78,4.87,f,0.5561643835616439,61
19211,within a few hours,100,99,t,t,t,Astoria,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,140.0,3,365,3.0,4.97,4.96,4.96,4.94,4.73,4.91,f,0.5808219178082191,52
19227,within a few hours,100,87,f,t,t,Prospect-Lefferts Gardens,Private room in home,Private room,2,1.0,1 private bath,1.0,2.0,150.0,4,30,4.0,4.96,4.84,4.99,4.99,4.88,4.95,f,0.3150684931506849,66
19237,within an hour,100,99,f,t,t,Hell's Kitchen,Entire rental unit,Entire home/apt,10,2.0,2 baths,5.0,0.0,1000.0,2,1125,2.0,4.11,4.22,4.67,4.44,4.75,4.36,f,0.5205479452054794,13
19240,within an hour,95,85,t,t,t,Harlem,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,249.0,4,28,8.0,4.73,4.95,4.86,4.91,4.82,4.73,f,0.0493150684931506,37
19256,within an hour,100,99,f,t,f,Harlem,Entire rental unit,Entire home/apt,4,1.0,1 bath,0.0,2.0,159.0,4,28,4.0,4.55,4.5,4.9,4.84,4.53,4.53,f,0.347945205479452,25
19257,within an hour,100,99,f,t,f,Harlem,Entire rental unit,Entire home/apt,3,1.0,1 bath,0.0,2.0,145.0,4,29,4.0,4.67,4.64,4.89,4.9,4.52,4.55,f,0.1616438356164383,32
19279,within an hour,100,90,f,t,t,Williamsburg,Private room in rental unit,Private room,2,2.0,2 shared baths,1.0,1.0,156.0,3,90,3.0,4.9,4.85,4.96,4.98,4.83,4.84,f,0.1150684931506849,67
19283,within an hour,100,93,t,t,t,Williamsburg,Private room in guest suite,Private room,2,1.0,1 private bath,1.0,1.0,207.0,3,365,3.0,4.96,4.93,4.97,4.98,4.91,4.84,f,0.3013698630136986,50
19308,within an hour,100,96,t,t,t,Williamsburg,Private room in townhouse,Private room,2,1.0,1 private bath,1.0,2.0,174.0,3,1125,3.0,4.94,4.96,4.91,4.96,4.97,4.8,f,0.1671232876712328,26
19330,within an hour,90,68,f,t,f,Coney Island,Entire home,Entire home/apt,2,2.0,2 baths,2.0,3.0,193.0,7,120,7.0,4.61,4.61,4.89,4.86,4.39,4.5,f,0.0027397260273972,40
19359,within an hour,100,91,t,t,t,Crown Heights,Private room in guest suite,Private room,2,1.0,1 private bath,2.0,3.0,186.0,3,300,3.0,4.84,4.9,4.94,4.89,4.64,4.69,f,0.1589041095890411,39
19368,within an hour,100,100,t,t,t,Crown Heights,Private room in townhouse,Private room,4,1.0,1 private bath,1.0,2.0,284.0,1,29,4.0,4.96,4.97,4.99,4.99,4.93,4.84,f,0.1205479452054794,59
19374,within an hour,100,100,t,t,t,Gerritsen Beach,Private room in condo,Private room,2,1.0,1 private bath,1.0,3.0,184.0,1,365,1.0,4.98,4.94,4.98,4.92,4.84,4.86,f,0.5342465753424658,59
19386,within an hour,100,98,t,t,t,East Elmhurst,Private room in home,Private room,2,1.0,1 shared bath,1.0,2.0,95.0,2,21,2.0,4.77,4.81,4.82,4.74,4.59,4.72,f,0.2082191780821917,29
19394,within an hour,100,98,t,t,t,Canarsie,Entire home,Entire home/apt,8,2.0,2 baths,4.0,4.0,350.0,3,1125,3.0,4.92,4.89,4.96,4.98,4.76,4.79,f,0.1342465753424657,42
19431,within an hour,76,100,f,t,t,Hell's Kitchen,Room in hotel,Private room,2,1.0,1 bath,1.0,1.0,225.0,1,365,1.0,4.39,4.54,4.57,4.42,4.78,4.31,t,0.2301369863013698,14
19434,within an hour,76,100,f,t,t,Hell's Kitchen,Room in hotel,Private room,2,1.0,1 bath,1.0,1.0,240.0,1,365,1.0,4.02,4.24,4.16,4.0,4.7,4.14,t,0.1863013698630137,15
19435,within an hour,76,100,f,t,t,Hell's Kitchen,Room in hotel,Private room,2,1.0,1 bath,1.0,1.0,240.0,1,365,1.0,4.44,4.46,4.64,4.44,4.74,4.32,t,0.1863013698630137,14
19436,within an hour,76,100,f,t,t,Hell's Kitchen,Room in hotel,Private room,2,1.0,1 bath,1.0,1.0,240.0,1,365,1.0,4.26,4.43,4.38,4.18,4.67,4.26,t,0.1863013698630137,14
19440,within an hour,100,100,f,t,t,Sheepshead Bay,Entire bungalow,Entire home/apt,2,1.0,1 bath,2.0,2.0,312.0,1,365,1.0,4.6,4.58,4.93,4.88,4.69,4.49,t,0.0465753424657534,52
19441,within a day,100,99,t,t,t,Jamaica,Entire guest suite,Entire home/apt,2,1.0,1 bath,1.0,1.0,106.0,2,20,3.0,4.85,4.87,4.94,4.81,4.65,4.8,f,0.6,42
19446,within an hour,100,98,t,t,t,Ditmars Steinway,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,174.0,5,21,5.0,4.97,5.0,4.97,4.98,4.92,4.89,f,0.1534246575342465,84
19456,within an hour,100,100,t,t,t,Greenpoint,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,206.0,3,18,3.0,5.0,5.0,5.0,5.0,4.99,4.97,f,0.6027397260273972,56
19459,within a few hours,100,100,t,t,t,Hollis,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,83.0,2,365,2.0,4.53,4.68,4.68,4.68,4.38,4.49,f,0.0657534246575342,59
19479,within an hour,100,98,f,t,t,Bedford-Stuyvesant,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,82.0,2,365,2.0,4.76,4.68,4.86,4.79,4.66,4.71,f,0.4712328767123288,35
19480,within an hour,100,92,t,t,t,Jamaica,Private room in home,Private room,5,1.5,1.5 baths,3.0,3.0,195.0,5,21,5.0,4.77,4.69,4.81,4.79,4.77,4.75,f,0.0273972602739726,49
19528,within an hour,100,100,t,t,f,Sea Gate,Private room in rental unit,Private room,2,1.0,1 shared bath,0.0,1.0,96.0,2,365,2.0,4.91,4.91,4.91,4.94,4.7,4.77,f,0.536986301369863,68
19531,within an hour,100,100,f,t,t,East Flatbush,Private room in rental unit,Private room,2,1.0,1 shared bath,2.0,3.0,146.0,3,730,3.0,4.56,4.67,4.92,4.94,4.21,4.55,f,0.1095890410958904,41
19532,within an hour,100,100,t,t,t,Pelham Gardens,Private room in rental unit,Private room,3,1.0,1 private bath,1.0,2.0,125.0,4,29,4.0,4.86,4.85,4.93,4.92,4.9,4.81,f,0.0767123287671232,51
19539,within an hour,100,97,t,t,t,Ridgewood,Entire rental unit,Entire home/apt,2,1.0,1 bath,2.0,2.0,292.0,2,21,2.0,5.0,4.99,4.99,4.97,4.88,4.9,f,0.6082191780821918,63
19550,within an hour,100,99,f,t,t,Hell's Kitchen,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,0.0,214.0,2,1125,2.0,4.0,3.65,4.65,4.41,4.59,3.76,t,0.5068493150684932,12
19563,within an hour,100,100,t,t,t,Lower East Side,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,313.0,1,365,2.0,4.88,4.91,4.92,4.91,4.9,4.72,t,0.0931506849315068,31
19573,within an hour,100,100,f,t,t,Canarsie,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,158.0,3,1125,3.0,4.82,4.8,4.94,4.97,4.7,4.77,f,0.1013698630136986,39
19603,within an hour,100,100,t,t,t,Nolita,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,313.0,1,365,2.0,4.95,4.89,4.93,4.92,4.91,4.81,t,0.3013698630136986,31
19610,within an hour,100,100,t,t,t,Nolita,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,254.0,1,365,2.0,4.88,4.97,4.95,4.98,4.91,4.73,t,0.1315068493150684,29
19615,within an hour,100,98,t,t,t,Williamsburg,Entire guest suite,Entire home/apt,2,1.0,1 bath,1.0,1.0,248.0,3,60,3.0,4.98,4.98,4.98,4.98,4.95,4.83,f,0.3589041095890411,49
19632,within an hour,100,100,t,t,t,East Village,Private room in condo,Private room,2,1.0,1 shared bath,1.0,1.0,179.0,1,18,1.0,4.94,4.94,4.97,4.98,4.84,4.83,t,0.421917808219178,33
19637,within a few hours,100,94,t,t,t,Crown Heights,Entire townhouse,Entire home/apt,8,2.0,2 baths,3.0,4.0,650.0,2,29,3.0,4.94,4.91,4.97,4.97,4.79,4.83,f,0.6328767123287671,50
19647,within an hour,100,100,f,t,t,Midtown,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,4.0,186.0,1,1125,3.0,4.62,4.63,4.82,4.72,4.91,4.57,t,0.2273972602739726,43
19651,within an hour,100,93,t,f,t,East Flatbush,Private room in home,Private room,2,1.0,1 private bath,2.0,2.0,130.0,3,30,3.0,4.79,4.88,4.87,4.84,4.17,4.71,f,0.073972602739726,48
19700,within an hour,100,91,f,t,t,East Elmhurst,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,239.0,1,730,1.0,4.91,4.91,4.94,4.92,4.87,4.81,f,0.5150684931506849,47
19707,within an hour,100,99,f,t,t,Sunset Park,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,128.0,1,1125,2.0,4.73,4.55,4.82,4.74,4.76,4.67,f,0.1287671232876712,26
19711,within an hour,99,100,f,t,t,Midtown,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,455.0,1,365,99.0,4.55,4.71,4.65,4.67,4.9,4.48,t,0.5643835616438356,24
19717,within a few hours,100,98,t,t,t,Midtown,Private room in condo,Private room,2,1.0,1 private bath,1.0,1.0,262.0,2,14,2.0,4.97,4.95,4.97,4.98,4.98,4.89,f,0.3232876712328767,43
19772,within an hour,100,100,f,t,t,Midtown,Entire rental unit,Entire home/apt,5,1.0,1 bath,0.0,3.0,305.0,4,30,5.0,4.63,4.69,4.71,4.76,4.84,4.53,t,0.1534246575342465,18
19777,within an hour,100,98,f,t,t,Bedford-Stuyvesant,Private room in rental unit,Private room,2,0.0,0 shared baths,1.0,1.0,54.0,30,1125,30.0,4.67,4.62,4.9,4.86,4.59,4.61,t,0.3342465753424657,33
19779,within an hour,100,97,t,t,t,Bedford-Stuyvesant,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,105.0,1,21,1.0,4.92,4.9,4.98,4.92,4.8,4.8,f,0.6109589041095891,49
19783,within an hour,100,92,t,t,t,East Flatbush,Private room in townhouse,Private room,2,1.0,1 private bath,2.0,2.0,231.0,1,45,5.0,5.0,4.89,5.0,5.0,4.68,4.86,f,0.5068493150684932,42
19795,within an hour,100,100,t,t,t,Lower East Side,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,212.0,1,365,2.0,4.89,4.92,4.93,4.9,4.89,4.75,t,0.1260273972602739,33
19820,within a few hours,100,100,t,t,t,Flushing,Private room in condo,Private room,2,1.0,1 private bath,1.0,1.0,95.0,2,60,2.0,4.84,4.65,4.88,4.91,4.72,4.7,f,0.1589041095890411,30
19877,within an hour,100,100,t,t,t,Lower East Side,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,192.0,1,365,2.0,4.88,4.89,4.94,4.92,4.89,4.71,t,0.0547945205479452,32
19903,within an hour,100,100,t,t,t,Clifton,Entire home,Entire home/apt,9,1.5,1.5 baths,3.0,6.0,456.0,2,365,2.0,4.88,4.81,4.94,4.91,4.53,4.84,f,0.6958904109589041,56
19908,within an hour,100,100,t,t,t,Lower East Side,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,219.0,1,365,2.0,4.88,4.9,4.95,4.91,4.89,4.66,t,0.1123287671232876,29
19974,within an hour,100,92,f,t,t,Midtown,Entire rental unit,Entire home/apt,7,1.0,1 bath,0.0,3.0,266.0,1,1125,7.0,4.67,4.62,4.84,4.87,4.94,4.59,t,0.1205479452054794,31
20042,within an hour,97,100,t,t,t,Financial District,Room in aparthotel,Entire home/apt,2,1.0,1 bath,1.0,1.0,444.0,1,365,4.0,4.54,4.85,4.87,4.79,4.74,4.36,t,0.1561643835616438,47
20043,within an hour,100,94,f,t,t,Lower East Side,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,766.0,1,365,1.0,4.73,4.73,4.76,4.84,4.86,4.46,t,0.0493150684931506,25
20044,within an hour,100,94,f,t,t,Lower East Side,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,303.0,1,365,1.0,4.87,4.81,4.74,4.68,4.9,4.77,t,0.0164383561643835,30
20045,within an hour,100,94,f,t,t,Lower East Side,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,388.0,1,365,1.0,4.7,4.81,4.7,4.81,4.95,4.57,t,0.0136986301369863,23
20046,within an hour,100,94,f,t,t,Lower East Side,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,837.0,1,365,1.0,4.59,4.71,4.59,4.59,4.76,4.35,t,0.0136986301369863,34
20049,within a few hours,100,75,f,t,t,Clason Point,Entire rental unit,Entire home/apt,3,1.0,1 bath,2.0,2.0,364.0,1,365,1.0,5.0,5.0,5.0,5.0,4.71,4.86,f,0.0,38
20051,within an hour,100,100,t,t,t,Bedford-Stuyvesant,Entire townhouse,Entire home/apt,5,1.0,1 bath,3.0,3.0,394.0,3,90,3.0,4.95,4.96,4.99,4.99,4.53,4.8,t,0.0931506849315068,53
20055,within an hour,100,81,t,t,f,Flatbush,Private room in townhouse,Private room,1,1.0,1 shared bath,1.0,1.0,56.0,5,30,5.0,4.97,4.96,4.95,4.97,4.82,4.96,f,0.210958904109589,44
20062,within an hour,100,100,t,t,t,Cypress Hills,Entire townhouse,Entire home/apt,4,1.0,1 bath,2.0,2.0,173.0,5,20,5.0,4.9,4.92,4.92,4.94,4.31,4.84,f,0.1726027397260274,50
